title,rooms,square_m,floor,serie,price,link,area,region,street,building_total_floors,price_per_square_m,time
Ar 1.februāri pieejams gaišs dzìvoklis ar skaistu skatu uz koku,2.0,60,4.0,Jaun.,590.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bggbe.html,riga,Ziepniekkalns,Vienības g. 192,5,9.833333333333334,2023-01-05 07:32:31
Īrei tiek piedāvāts gaišs un kopts dzīvoklis. Tikko pabeigts,2.0,52,1.0,Jaun.,410.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aembf.html,riga,Purvciems,Stirnu 1,9,7.884615384615385,2023-01-05 07:32:31
Īpašnieks ilgtermiņā izīrē vienistabas dzīvokli Āgenskalna pried,1.0,18,2.0,M. ģim.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/bkcngm.html,riga,Āgenskalns,Kristapa 10,4,11.11111111111111,2023-01-05 07:32:31
Сдаётся 3 комнатная квартира (две изолированные комнаты и гостин,3.0,63,2.0,602.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/cnged.html,riga,Pļavnieki,Grestes 12,9,5.555555555555555,2023-01-05 07:32:31
"Tiek izīrēts pilnībā mēbelēts, labiekārtots 2-istabu dzīvoklis R",2.0,42,2.0,Renov.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aemno.html,riga,centrs,Valdemāra 69,6,9.523809523809524,2023-01-05 07:32:31
Tiek izirēts vienu istabu dzivoklis.,1.0,17,3.0,M. ģim.,190.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ffhho.html,riga,Āgenskalns,Kristapa 10,4,11.176470588235293,2023-01-05 07:32:31
Attīstītājs izīrē četru istabu dzīvokli ar 28m2 lielu tersasi ja,4.0,134,6.0,Jaun.,1500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahmdd.html,riga,centrs,Cēsu 9,7,11.194029850746269,2023-01-05 07:32:31
Сдаю в аренду трехкомнатную квартиру. Квартира без мебели. Комна,3.0,46,2.0,P. kara,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/achco.html,riga,centrs,Dagdas 3,5,5.0,2023-01-05 07:32:31
"Majīgs un ērts dzīvoklis centrā. Guļamistaba, vieistaba savienot",2.0,42,6.0,P. kara,420.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cnhjp.html,riga,centrs,Ģertrūdes 9,7,10.0,2023-01-05 07:32:31
"Izīrē 3 istabu dzīvokli Klusajā centrā, pagalmas mājā. Slēdzama",3.0,70,3.0,P. kara,550.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cppkl.html,riga,centrs,Ausekļa 2,5,7.857142857142857,2023-01-05 07:32:31
"Tiek izīrēts mēbelēts, skaists un silts ar labu lokāciju kompakt",1.0,22,2.0,Specpr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/aiccn.html,riga,Pļavnieki,Deglava 24,9,9.090909090909092,2023-01-05 07:32:31
"Сдаётся 2-х комнатная квартира, комнаты изолированные, санузел р",2.0,47,1.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/zasulauks/ahkkn.html,riga,Zasulauks,Rododendru 5,5,4.25531914893617,2023-01-05 07:32:31
Izīrēju pārdomātu 4 istabu dzīvokli jaunajā projektā klusā privā,4.0,107,1.0,Jaun.,750.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/bnbdib.html,riga,Dārzciems,Rēzeknes 27a,3,7.009345794392523,2023-01-05 07:32:31
